video_url,video_id,likes,comments,shares,saves,tags,description,data_index,scraped_at
https://www.youtube-nocookie.com/embed/Ha-VDKF-NRM?autoplay=1&mute=1&controls=1&origin=https%3A%2F%2Foutlierdb.com&playsinline=1&showinfo=0&rel=0&iv_load_policy=3&modestbranding=1&preload=auto&enablejsapi=1&widgetid=3&forigin=https%3A%2F%2Foutlierdb.com%2F&aoriginsup=1&vf=6,Ha-VDKF-NRM,6,0,4,7,"['#nogi', '#halfguard', '#lowkneeshield', '#elbowprop', '#2on1grip', '#armsaddle', '#spintheleg', '#choibar', '#kneeshieldhalfguard', '#dilemma', '#upperbodytolowerbody', '#legentanglement', '#zguard', '#crossashientry', '#411entry', '#saddleentry', '#honeyholeentry', '#lowerbodytoupperbody', '#footage', '#diegopato']","01:24 - From a low knee shield half guard, Diego props up on an elbow before taking an upward facing 2 on 1 grip. He uses it to threaten and entry on the far leg but the defender brings their other arm down to stop it. Diego follows up with an arm saddle grip to transition into a choi bar. The choi bar is failing so he goes back into the legs, spinning the leg to enter cross ashi.",0,2025-04-08T18:05:25.320685
https://www.youtube-nocookie.com/embed/tjFy_Lmsv_o,tjFy_Lmsv_o,14,0,6,11,"['#nogi', '#guardpass', '#hq', '#loosepassing', '#destabilization', '#splitlegs', '#headquarters', '#backstep', '#bodylockentry', '#resource', '#kneehike', '#lessimpressedmoreinvolvedbjj', '#extension', '#smashlegs', '#retraction']","00:01 - When we are working to pass from HQ, the guard player generally wants their knee in the center of our chest so they can carry weight efficiently. Our goal as the passer is generally to manipulate this leg by: 1) Getting our body in between their legs to split their legs apart (often leading to body lock scenarios.) 2) Smash their legs together. 3) Extension using something like a knee hike...",1,2025-04-08T18:05:25.321525
https://www.youtube-nocookie.com/embed/4c-v1OEPukc,4c-v1OEPukc,16,1,21,15,"['#levijonesleary', '#nogi', '#technique', '#guardpass', '#smashpass', '#legdrag', '#butterflyhalfguardpass', '#kneeshieldpass', '#highkneeshieldpass', '#halfguardpass', '#resource']","00:00 - When trying to do a knee cut to pass the guard, we are often met with a strong knee shield by the guard player. As the top player, to get around the knee shield, we can post on their shoulder and their shin as we step over their knee shield leg putting ourselves in a butterfly half guard. Then, we switch sides and shuffle our feet as we leg drag their knee shield leg. If at any time the bo...",2,2025-04-08T18:05:25.322176
https://www.youtube-nocookie.com/embed/kitboNiSLq0,kitboNiSLq0,6,0,4,3,"['#ethancrelinsten', '#nogi', '#underhook', '#rnc', '#back', '#neckpummel', '#rearnakedchoke', '#resource']","09:36 - When trying to strangle someone with a RNC, we need to get the shoulder of our strangle arm in front of our opponent's shoulder. This allows us to make our strangle arm as long as possible. We use our hooks to create this effect by switching sides. If we are met with resistance, we can neck pummel to break through.",3,2025-04-08T18:05:25.322659
https://www.youtube-nocookie.com/embed/e5hRJueLPJM,e5hRJueLPJM,0,0,0,1,"['#jedhue', '#nogi', '#halfguard', '#sweep', '#singleleg', '#scoopgrip', '#wrestleup', '#kneeshieldhalfguard', '#underhookbottomplayer', '#footage', '#nikodem']","19:27 - From half guard, Jed threatens a scoop grip on the far leg. Niko sprawls to defend giving Jed the ability to take an underhook and use it to wrestle up with a single leg to complete the sweep. Nice dilemma of lower body to upper body.",4,2025-04-08T18:05:51.982451
https://www.youtube-nocookie.com/embed/ZmcHmYpnhqA,ZmcHmYpnhqA,1,0,3,1,"['#wrestling', '#takedowndefense', '#anklepick', '#singlelegescape', '#singlelegtakedown', '#footage', '#shinwhizzer', '#vitoarujau', '#romanbravo']","03:57 - From a single leg, the defender takes a shin whizzer. He then counters with a single leg / ankle pick of his own.",5,2025-04-08T18:06:02.709603
https://www.youtube-nocookie.com/embed/6ZFLDCnSDwg,6ZFLDCnSDwg,2,0,0,3,"['#nogi', '#bodylock', '#bodylockpass', '#bodylockescape', '#resource', '#dimamurovanni']",02:09 - Normally a body lock is done low down by the hips of our opponent. The downside of this approach is we do not control the upper body and they can frame away strongly.,6,2025-04-08T18:06:19.824285
https://www.youtube-nocookie.com/embed/ibcrmxPNlds,ibcrmxPNlds,2,0,2,1,"['#wrestling', '#takedown', '#takedowndefense', '#standing', '#singleleg', '#doubleleg', '#downblock', '#doublelegtakedown', '#reshot', '#footage']","00:25 - From standing, one player shoots in on a takedown. The defender uses a downblock to stuff the takedown and immediately reshoots with an outside single leg of his own. He transfers to a double leg to complete the takedown.",7,2025-04-08T18:06:40.397447
https://www.youtube-nocookie.com/embed/zA_C-wEOmnM,zA_C-wEOmnM,0,0,1,3,"['#nogi', '#crossashi', '#tombstonegrip', '#skimtheleg', '#saddle', '#411', '#honeyhole', '#resource', '#lessimpressedmoreinvolvedbjj']","07:40 - When attacking from cross ashi, it is no secret that the defender wants to turn away from us to hide their heel as they free their secondary leg and use it to facilitate their turning escape. Knowing this, we can take a tombstone grip to make it difficult for the defender to turn away from us. Now, when the defender tries to pummel their legs, they have to do so from a more upright positio...",8,2025-04-08T18:07:01.609390
https://www.youtube-nocookie.com/embed/05OpdrAzKzA,05OpdrAzKzA,3,0,2,6,"['#nogi', '#rdlr', '#falsereap', '#reverseshinonshin', '#reap', '#insidespin', '#insideheelhook', '#backside', '#reversedelariva', '#legentanglement', '#5050entry', '#resource', '#kneeonbellyescape', '#lessimpressedmoreinvolvedbjj']","06:46 - From RDLR, we can look to extend our opponent's knees apart. We can then look to pummel our secondary leg to the outside almost putting our opponent in a knee on belly or reverse shin on shin situation. If the guard passer decides to step forward looking to capitalize on this opportunity, we can use an inside spin to get to back side 50-50 for the inside heel hook. Instead, if the passer s...",9,2025-04-08T18:07:21.477081
